	cpi_pdiff2	bmon_gdp_rdiff2	stock_pdiff2	cons_pdiff2	pdebt_gdp_rdiff2	inv_gdp_rdiff2	ca_gdp_rdiff2	tloan_gdp_rdiff2	tdbtserv_gdp_rdiff2	global_loan2	global_drate	drate	crisis	crisis_id	year	iso
0	-0.062	0.041	0.063	-0.017	-0.018	0.021	0.064	-0.017	-0.001	0.028	0.514	0.137	0	917	1872	AUS
1	-0.047	-0.005	0.336	0.167	-0.049	0.02	-0.066	-0.009	-0.001	0.026	0.663	0.272	0	397	1873	AUS
2	0.049	-0.025	0.22	0.113	0.039	0.012	-0.054	0.003	-0.0	0.029	2.105	0.153	0	951	1874	AUS
3	0.082	0.018	0.105	0.104	0.091	0.036	0.015	0.021	0.001	0.038	1.172	-0.093	0	781	1875	AUS
4	0.047	0.032	0.053	0.057	-0.036	0.026	-0.003	0.028	0.001	0.023	2.034	-0.034	0	1994	1876	AUS
5	0.045	0.043	0.055	-0.018	-0.058	0.049	-0.02	0.056	0.002	0.027	1.889	-0.111	0	1970	1877	AUS
6	0.015	0.02	0.014	0.071	0.014	0.013	-0.028	0.052	0.002	0.05	1.28	-0.357	0	2412	1878	AUS
7	-0.043	-0.013	-0.171	0.052	0.033	-0.048	0.01	-0.015	0.0	0.038	0.964	-0.297	0	351	1879	AUS
8	-0.059	0.006	-0.052	-0.034	0.049	-0.005	0.053	-0.056	-0.003	0.013	0.843	-0.291	0	2105	1880	AUS
9	-0.045	0.046	0.304	0.048	0.023	0.051	-0.021	0.012	-0.002	0.021	0.081	-0.919	0	658	1881	AUS
10	0.0	0.057	0.253	0.046	0.01	0.004	-0.082	0.104	0.002	0.031	-0.03	-0.678	0	1881	1882	AUS
11	0.127	0.009	0.195	0.03	0.009	-0.025	-0.008	0.06	0.003	0.02	-0.189	-0.683	0	1752	1883	AUS
12	0.125	0.009	0.201	0.044	0.061	0.023	0.005	0.01	0.001	0.024	0.098	-0.904	0	775	1884	AUS
13	0.014	0.036	0.08	0.008	0.071	-0.001	-0.045	0.038	0.002	0.036	0.48	-0.768	0	725	1885	AUS
