	cpi_pdiff2	bmon_gdp_rdiff2	stock_pdiff2	cons_pdiff2	pdebt_gdp_rdiff2	inv_gdp_rdiff2	ca_gdp_rdiff2	tloan_gdp_rdiff2	tdbtserv_gdp_rdiff2	global_loan2	global_drate	drate	pred	year	iso	crisis
0	0.033	-0.005	-0.003	-0.003	0.001	0.015	-0.009	-0.014	-0.005	-0.02	0.01	0.011	0.087	1872	AUS	0
1	0.032	-0.008	-0.004	-0.003	0.001	0.002	-0.003	-0.016	0.0	-0.009	0.011	0.007	0.088	1873	AUS	0
2	-0.006	-0.004	-0.002	0.004	0.005	-0.003	0.003	-0.016	-0.003	-0.003	-0.013	0.001	0.04	1874	AUS	0
3	-0.013	0.006	-0.001	0.005	0.01	0.013	-0.003	-0.016	-0.004	0.007	-0.022	0.012	0.07	1875	AUS	0
4	-0.006	0.002	-0.0	-0.003	-0.008	-0.004	0.001	0.001	0.001	-0.016	-0.023	0.01	0.028	1876	AUS	0
5	-0.003	0.002	-0.001	0.001	-0.007	0.005	0.005	0.006	0.001	-0.014	-0.048	0.011	0.033	1877	AUS	0
6	-0.002	0.004	-0.0	-0.006	0.004	-0.005	0.0	0.007	-0.001	0.002	-0.035	0.013	0.058	1878	AUS	0
7	0.029	-0.002	0.008	-0.008	0.002	-0.008	-0.003	-0.018	-0.003	-0.011	-0.008	0.013	0.068	1879	AUS	0
8	0.029	-0.001	0.001	0.011	-0.002	-0.008	-0.004	-0.009	-0.001	-0.016	-0.002	0.014	0.086	1880	AUS	0
9	0.009	0.005	-0.004	-0.006	-0.007	0.012	0.002	-0.018	-0.005	-0.022	0.001	0.003	0.046	1881	AUS	0
10	0.006	0.02	0.009	-0.01	-0.009	-0.002	0.048	0.058	-0.002	-0.009	0.03	0.015	0.23	1882	AUS	0
11	-0.019	0.006	0.001	0.004	-0.002	-0.021	0.004	0.011	0.007	-0.017	0.02	0.017	0.087	1883	AUS	0
12	-0.004	-0.002	-0.006	-0.004	-0.003	0.004	-0.002	-0.017	-0.004	-0.024	-0.001	0.004	0.015	1884	AUS	0
13	0.001	0.002	-0.008	0.002	0.002	-0.002	0.002	-0.007	-0.004	-0.012	-0.0	0.016	0.069	1885	AUS	0
14	0.022	0.007	-0.003	0.0	0.001	0.001	-0.001	-0.002	0.001	-0.022	-0.012	0.018	0.086	1886	AUS	0
15	0.025	0.005	-0.006	-0.008	-0.005	0.006	0.003	-0.016	-0.006	-0.023	0.004	0.019	0.074	1887	AUS	0
16	0.05	0.003	0.005	0.008	-0.004	-0.001	0.004	0.003	-0.005	-0.024	0.014	0.024	0.153	1888	AUS	0
17	0.024	0.005	0.003	0.009	-0.005	-0.012	0.005	0.001	-0.001	-0.013	0.02	0.016	0.13	1889	AUS	0
18	0.009	-0.002	-0.008	0.043	-0.005	-0.034	-0.008	-0.012	0.003	-0.004	0.102	0.016	0.177	1890	AUS	0
19	0.017	0.005	0.007	0.016	-0.017	0.009	-0.006	-0.008	0.0	0.003	0.041	0.013	0.158	1891	AUS	1
20	0.018	-0.006	0.002	0.071	0.007	-0.014	0.006	0.007	-0.001	-0.019	0.001	0.021	0.171	1892	AUS	1
21	0.016	0.001	-0.006	-0.007	0.0	-0.006	0.003	-0.005	-0.002	-0.023	0.007	0.009	0.064	1898	AUS	0
22	0.002	-0.003	0.002	-0.01	-0.005	0.01	-0.009	-0.022	-0.003	0.002	0.07	0.009	0.117	1899	AUS	0
