	cpi_pdiff2	bmon_gdp_rdiff2	stock_pdiff2	cons_pdiff2	pdebt_gdp_rdiff2	inv_gdp_rdiff2	ca_gdp_rdiff2	tloan_gdp_rdiff2	tdbtserv_gdp_rdiff2	global_loan2	global_drate	drate	pred	year	iso	crisis
0	0.022	-0.007	-0.002	0.022	-0.003	0.012	-0.017	-0.022	-0.005	0.003	0.011	0.005	0.085	1872	AUS	0
1	-0.0	-0.004	-0.004	-0.03	-0.003	0.001	0.005	-0.011	-0.004	-0.002	-0.0	0.001	0.014	1873	AUS	0
2	-0.002	-0.006	-0.003	-0.015	-0.003	-0.001	0.002	-0.007	-0.004	-0.0	-0.018	0.0	0.009	1874	AUS	0
3	-0.003	-0.002	-0.002	-0.022	-0.002	0.008	-0.006	-0.005	-0.003	0.009	-0.011	0.005	0.033	1875	AUS	0
4	0.001	-0.002	-0.002	-0.006	-0.001	0.009	-0.002	-0.002	-0.002	-0.003	-0.025	0.007	0.038	1876	AUS	0
5	0.002	-0.005	0.003	0.016	-0.001	0.019	-0.004	0.007	-0.002	0.004	-0.039	0.014	0.077	1877	AUS	0
6	-0.0	-0.001	-0.001	-0.016	-0.002	0.003	0.004	0.01	-0.001	0.031	-0.02	0.015	0.086	1878	AUS	0
7	0.013	-0.003	-0.002	-0.004	-0.004	-0.029	-0.003	-0.009	-0.002	0.011	-0.005	0.01	0.039	1879	AUS	0
8	-0.0	-0.003	-0.001	0.018	-0.005	-0.006	-0.014	-0.02	-0.004	-0.011	-0.003	0.007	0.021	1880	AUS	0
9	0.004	0.006	-0.005	-0.004	-0.006	0.038	0.007	-0.011	-0.005	-0.009	0.038	0.039	0.156	1881	AUS	0
10	0.005	0.017	-0.005	-0.003	-0.002	-0.003	0.041	0.075	-0.0	0.018	0.063	0.046	0.318	1882	AUS	0
11	-0.013	-0.002	-0.002	0.002	-0.003	-0.017	-0.003	0.009	-0.001	-0.007	0.034	0.026	0.087	1883	AUS	0
12	-0.005	-0.004	-0.003	-0.002	-0.007	0.009	-0.005	-0.009	-0.003	-0.003	0.024	0.026	0.083	1884	AUS	0
13	0.002	0.004	-0.001	0.027	0.0	-0.007	0.015	0.006	-0.002	0.022	0.016	0.034	0.182	1885	AUS	0
14	0.016	-0.002	0.007	0.009	-0.005	0.006	-0.005	0.002	-0.002	0.012	0.022	0.036	0.16	1886	AUS	0
15	0.02	-0.002	-0.002	-0.005	-0.004	0.009	-0.009	-0.007	-0.006	-0.004	0.023	0.033	0.113	1887	AUS	0
16	0.032	-0.002	-0.003	0.02	-0.002	-0.012	-0.004	0.002	-0.006	-0.023	0.02	0.041	0.131	1888	AUS	0
17	0.022	-0.002	-0.005	0.021	-0.003	-0.022	0.0	0.006	-0.003	-0.044	0.048	0.022	0.106	1889	AUS	0
18	0.0	-0.007	-0.0	0.036	-0.005	-0.032	-0.007	-0.009	-0.003	-0.046	0.055	0.025	0.071	1890	AUS	0
19	0.022	-0.004	0.003	0.055	-0.003	0.005	-0.012	-0.001	-0.002	-0.051	0.066	0.025	0.168	1891	AUS	1
20	0.023	-0.011	0.002	0.092	-0.002	-0.046	-0.017	0.016	-0.001	-0.022	0.005	0.02	0.124	1892	AUS	1
21	-0.001	-0.01	-0.002	0.005	-0.003	-0.005	-0.0	-0.03	-0.004	-0.01	0.011	0.008	0.022	1898	AUS	0
22	-0.002	-0.008	-0.003	-0.036	-0.004	0.002	-0.008	-0.025	-0.004	0.001	0.021	0.005	0.005	1899	AUS	0
23	-0.003	-0.001	-0.003	-0.016	-0.003	-0.009	-0.007	-0.029	-0.004	-0.003	0.051	0.006	0.045	1900	AUS	0
24	0.005	-0.003	-0.002	0.009	-0.004	-0.002	0.012	-0.022	-0.002	-0.008	0.059	0.003	0.111	1901	AUS	0
25	-0.006	0.001	0.007	0.03	-0.001	0.017	-0.003	-0.024	-0.003	0.007	0.043	0.005	0.138	1902	AUS	0
26	-0.004	-0.003	-0.002	0.006	-0.004	0.016	-0.001	-0.009	-0.001	-0.01	0.027	0.002	0.081	1903	AUS	0
27	0.015	-0.001	-0.004	-0.01	-0.003	-0.022	0.0	-0.011	-0.002	0.025	0.028	-0.002	0.078	1904	AUS	0
28	0.017	-0.002	-0.003	-0.009	-0.002	-0.038	-0.013	-0.012	-0.003	0.021	0.03	0.001	0.052	1905	AUS	0
29	0.013	-0.001	-0.002	0.038	-0.002	-0.011	-0.012	-0.017	-0.007	-0.009	0.064	0.01	0.129	1906	AUS	0
30	-0.0	-0.011	-0.002	-0.028	0.003	0.016	-0.008	-0.033	-0.005	-0.016	0.103	0.007	0.089	1907	AUS	0
31	-0.001	-0.007	-0.002	-0.01	-0.004	0.014	0.004	-0.014	-0.002	0.011	0.04	0.003	0.097	1908	AUS	0
32	0.005	-0.003	-0.004	0.066	-0.003	-0.012	0.011	-0.023	-0.003	0.024	0.058	-0.0	0.181	1909	AUS	0
33	-0.002	-0.007	-0.003	0.02	-0.002	-0.011	-0.0	-0.028	-0.004	-0.007	0.037	-0.0	0.057	1910	AUS	0
34	-0.004	-0.003	-0.002	-0.017	-0.005	-0.0	-0.003	-0.013	-0.003	-0.009	0.019	-0.001	0.023	1911	AUS	0
35	-0.017	-0.003	-0.002	-0.014	-0.002	0.019	0.004	-0.004	-0.001	-0.03	0.034	-0.004	0.047	1912	AUS	0
36	-0.003	-0.014	-0.001	0.013	-0.001	0.017	0.013	-0.028	-0.003	-0.034	0.054	-0.012	0.067	1913	AUS	0
37	0.025	0.003	-0.0	-0.009	-0.002	0.023	-0.008	-0.02	-0.002	0.042	0.018	-0.055	0.079	1921	AUS	0
38	0.009	-0.01	-0.003	-0.008	-0.005	0.016	0.018	-0.016	-0.003	0.11	0.034	-0.045	0.162	1922	AUS	0
39	-0.002	-0.003	-0.004	-0.009	-0.003	-0.003	-0.013	-0.007	-0.004	-0.015	0.008	-0.007	0.004	1923	AUS	0
40	0.001	-0.001	-0.003	-0.023	-0.003	-0.005	0.003	-0.006	-0.003	-0.027	0.015	-0.008	0.004	1924	AUS	0
41	-0.003	-0.006	-0.003	-0.012	-0.003	-0.004	-0.008	-0.007	-0.003	-0.016	0.008	-0.005	0.002	1925	AUS	0
42	0.011	-0.003	-0.003	0.012	-0.003	-0.007	-0.006	-0.012	-0.006	0.02	0.047	-0.008	0.108	1926	AUS	0
43	0.001	0.005	-0.003	0.022	-0.001	0.005	0.046	0.013	-0.001	0.068	0.044	-0.013	0.255	1927	AUS	0
44	-0.001	-0.004	-0.002	0.024	-0.005	-0.004	0.001	-0.011	-0.003	0.006	0.026	-0.007	0.084	1928	AUS	0
45	0.002	0.008	-0.002	0.091	-0.001	-0.013	-0.018	-0.005	-0.001	-0.01	0.066	-0.004	0.179	1929	AUS	0
46	0.006	0.007	0.006	0.026	-0.011	-0.039	0.04	0.028	0.001	0.027	0.006	0.002	0.163	1930	AUS	0
47	0.02	0.06	0.02	0.319	0.014	-0.076	-0.039	0.083	0.021	0.15	0.032	-0.018	0.654	1931	AUS	0
48	0.007	0.041	0.001	0.166	-0.029	-0.057	-0.124	0.009	-0.004	0.049	-0.023	-0.011	0.088	1932	AUS	0
