	cpi_pdiff2	bmon_gdp_rdiff2	stock_pdiff2	cons_pdiff2	pdebt_gdp_rdiff2	inv_gdp_rdiff2	ca_gdp_rdiff2	tloan_gdp_rdiff2	tdbtserv_gdp_rdiff2	global_loan2	global_drate	drate	pred	year	iso	crisis
0	0.035	-0.002	-0.005	-0.004	0.002	0.009	-0.004	-0.017	-0.004	-0.018	0.015	0.007	0.09	1872	AUS	0
1	0.035	-0.003	-0.003	-0.009	-0.0	0.003	-0.006	-0.012	-0.001	-0.012	0.013	0.007	0.089	1873	AUS	0
2	-0.007	-0.001	-0.003	0.004	0.003	-0.003	0.003	-0.013	-0.004	-0.008	-0.012	0.003	0.038	1874	AUS	0
3	-0.01	0.002	-0.001	0.005	0.008	0.014	-0.003	-0.013	-0.004	-0.002	-0.025	0.01	0.058	1875	AUS	0
4	-0.004	0.002	-0.001	-0.003	-0.005	-0.001	0.0	-0.002	-0.001	-0.012	-0.027	0.006	0.028	1876	AUS	0
5	-0.004	0.004	-0.003	0.003	-0.004	0.005	0.004	0.007	-0.001	-0.015	-0.048	0.009	0.033	1877	AUS	0
6	-0.003	0.001	0.002	-0.003	0.004	-0.002	-0.0	0.009	0.0	0.005	-0.037	0.015	0.066	1878	AUS	0
7	0.031	-0.002	0.011	-0.008	0.001	-0.012	-0.003	-0.016	-0.003	-0.006	-0.008	0.011	0.072	1879	AUS	0
8	0.036	0.005	0.003	0.011	-0.0	-0.008	-0.002	-0.011	-0.003	-0.013	-0.001	0.018	0.112	1880	AUS	0
9	0.018	0.002	-0.001	-0.006	-0.003	0.012	0.001	-0.018	-0.005	-0.019	0.003	0.008	0.067	1881	AUS	0
10	0.008	0.011	0.008	-0.006	-0.007	-0.001	0.039	0.05	-0.002	-0.014	0.025	0.017	0.205	1882	AUS	0
11	-0.015	0.005	0.002	0.003	-0.005	-0.016	0.001	0.011	0.007	-0.021	0.017	0.014	0.081	1883	AUS	0
12	-0.012	0.001	-0.002	-0.002	-0.002	0.005	0.003	-0.017	-0.002	-0.021	0.004	0.007	0.038	1884	AUS	0
13	0.001	0.0	-0.007	0.003	0.002	-0.003	-0.001	-0.003	-0.003	-0.015	-0.004	0.017	0.064	1885	AUS	0
14	0.014	0.006	-0.006	0.001	-0.001	-0.0	-0.001	-0.004	-0.001	-0.022	-0.01	0.016	0.068	1886	AUS	0
15	0.023	0.003	-0.004	-0.008	-0.004	0.005	0.002	-0.017	-0.007	-0.018	0.004	0.016	0.07	1887	AUS	0
16	0.032	0.002	0.004	0.005	-0.001	-0.001	0.001	0.003	-0.005	-0.025	0.008	0.02	0.119	1888	AUS	0
17	0.031	0.003	0.002	0.005	-0.006	-0.011	0.007	0.006	0.001	-0.014	0.02	0.018	0.138	1889	AUS	0
18	0.018	0.0	-0.006	0.033	-0.003	-0.042	-0.003	-0.011	0.004	-0.001	0.076	0.021	0.162	1890	AUS	0
19	0.017	0.005	0.004	0.008	-0.013	0.008	-0.005	-0.006	0.001	-0.001	0.033	0.013	0.14	1891	AUS	1
20	0.024	-0.001	0.003	0.09	0.006	-0.008	0.005	0.016	0.005	-0.017	0.012	0.018	0.228	1892	AUS	1
21	0.029	0.005	-0.003	-0.001	-0.003	-0.001	0.002	-0.001	0.0	-0.014	0.015	0.012	0.117	1898	AUS	0
22	-0.0	-0.001	0.0	-0.01	-0.003	0.016	-0.01	-0.009	0.0	-0.0	0.078	0.012	0.149	1899	AUS	0
23	-0.01	-0.004	0.001	0.005	-0.002	-0.009	-0.01	-0.028	-0.004	-0.007	0.073	0.011	0.092	1900	AUS	0
24	-0.0	0.008	-0.004	0.004	0.004	0.006	0.004	-0.034	0.005	-0.013	0.066	0.005	0.127	1901	AUS	0
25	-0.008	-0.006	-0.005	0.012	-0.003	0.008	-0.0	-0.019	-0.006	-0.023	0.03	-0.001	0.056	1902	AUS	0
26	-0.012	-0.004	-0.003	0.003	-0.004	0.014	0.002	-0.027	0.001	-0.014	0.04	0.002	0.073	1903	AUS	0
27	0.023	-0.003	-0.001	-0.005	-0.003	-0.012	-0.004	-0.019	0.002	0.001	0.01	-0.007	0.058	1904	AUS	0
28	0.034	0.004	-0.004	-0.004	-0.0	-0.018	-0.017	-0.027	-0.005	0.005	0.054	-0.001	0.098	1905	AUS	0
29	-0.001	0.011	-0.002	0.003	-0.001	-0.01	-0.022	-0.041	-0.012	-0.008	0.107	-0.0	0.1	1906	AUS	0
30	0.002	-0.007	0.002	0.003	0.002	0.01	-0.001	-0.037	-0.006	-0.001	0.094	-0.003	0.134	1907	AUS	0
31	-0.002	-0.006	-0.003	-0.006	-0.004	0.006	0.0	-0.033	-0.008	-0.014	0.053	-0.004	0.054	1908	AUS	0
32	-0.004	-0.002	-0.002	0.027	-0.005	-0.004	-0.002	-0.023	-0.009	-0.015	0.012	-0.005	0.044	1909	AUS	0
33	0.002	-0.006	-0.001	-0.0	-0.003	-0.01	0.007	-0.021	-0.003	-0.018	0.054	-0.001	0.075	1910	AUS	0
34	-0.02	0.004	-0.001	-0.004	0.025	0.01	0.007	-0.021	0.0	-0.008	0.065	0.006	0.14	1911	AUS	0
35	-0.009	0.0	-0.003	-0.003	-0.001	0.005	0.004	-0.019	0.006	-0.015	0.104	-0.008	0.138	1912	AUS	0
36	-0.003	-0.016	-0.005	0.002	0.005	0.009	0.003	-0.039	-0.003	-0.019	0.088	-0.019	0.081	1913	AUS	0
37	0.033	0.002	-0.0	-0.003	-0.0	0.021	-0.002	-0.012	-0.005	0.016	0.006	-0.033	0.098	1921	AUS	0
38	0.007	-0.002	-0.003	-0.009	-0.005	0.001	-0.002	-0.022	-0.009	0.106	0.006	-0.038	0.106	1922	AUS	0
39	0.018	-0.003	-0.002	-0.001	-0.003	0.001	-0.007	-0.013	-0.005	-0.011	0.025	-0.018	0.058	1923	AUS	0
40	0.011	-0.001	0.001	-0.015	-0.002	0.0	0.013	-0.011	-0.003	-0.007	0.032	-0.026	0.067	1924	AUS	0
41	0.009	0.002	0.0	-0.008	-0.002	-0.003	-0.005	-0.006	-0.002	-0.003	0.03	-0.018	0.07	1925	AUS	0
42	0.004	0.001	0.001	0.002	-0.004	-0.006	-0.003	-0.02	-0.008	-0.015	0.017	-0.013	0.034	1926	AUS	0
43	0.001	0.002	0.004	0.007	-0.007	0.003	0.094	-0.0	-0.001	0.017	0.023	-0.011	0.207	1927	AUS	0
44	-0.001	0.001	-0.003	0.005	-0.002	-0.002	0.003	-0.019	-0.008	-0.024	0.006	-0.007	0.026	1928	AUS	0
45	0.008	0.006	-0.007	0.029	-0.002	-0.012	-0.002	-0.011	0.003	-0.015	0.062	-0.009	0.125	1929	AUS	0
46	0.043	0.0	0.009	0.001	0.01	-0.004	0.0	0.029	0.015	0.004	0.021	0.003	0.208	1930	AUS	0
47	0.038	0.029	0.016	0.22	-0.002	0.008	0.026	0.052	0.034	-0.007	0.052	-0.007	0.533	1931	AUS	0
48	0.025	0.03	-0.006	0.166	0.004	0.006	0.02	0.009	-0.003	-0.001	-0.021	-0.01	0.295	1932	AUS	0
49	0.016	0.002	0.001	-0.002	-0.001	-0.004	-0.008	-0.01	-0.005	-0.011	-0.024	-0.005	0.026	1933	AUS	0
50	0.0	-0.008	0.002	0.0	0.009	0.001	0.004	-0.015	-0.004	-0.019	-0.027	-0.012	0.01	1951	AUS	0
51	-0.003	-0.005	0.001	0.003	0.005	0.003	0.002	-0.013	-0.003	-0.014	-0.025	-0.013	0.015	1952	AUS	0
52	-0.008	-0.007	0.004	0.022	-0.004	-0.001	0.001	-0.015	-0.002	-0.012	-0.026	-0.009	0.018	1953	AUS	0
53	-0.004	-0.002	-0.002	0.001	-0.002	-0.004	-0.004	-0.01	-0.004	-0.014	-0.022	-0.007	0.004	1954	AUS	0
54	-0.003	-0.003	-0.0	-0.004	-0.004	0.0	0.016	-0.004	-0.004	-0.013	-0.034	-0.005	0.019	1955	AUS	0
55	-0.009	-0.003	-0.001	-0.003	-0.003	0.001	-0.002	-0.009	-0.001	-0.011	-0.03	-0.001	0.004	1956	AUS	0
