	cpi_pdiff2	bmon_gdp_rdiff2	stock_pdiff2	cons_pdiff2	pdebt_gdp_rdiff2	inv_gdp_rdiff2	ca_gdp_rdiff2	tloan_gdp_rdiff2	tdbtserv_gdp_rdiff2	global_loan2	global_drate	drate	pred	year	iso	crisis
0	0.017	-0.001	-0.001	0.022	-0.003	0.01	-0.014	-0.02	-0.004	0.004	0.01	0.008	0.093	1872	AUS	0
1	0.006	-0.004	-0.004	-0.037	-0.002	0.003	0.01	-0.01	-0.003	-0.001	0.001	0.003	0.027	1873	AUS	0
2	-0.002	-0.004	-0.003	-0.014	-0.003	-0.0	0.002	-0.006	-0.003	0.0	-0.02	0.002	0.013	1874	AUS	0
3	-0.004	-0.002	-0.002	-0.02	-0.003	0.012	-0.005	-0.004	-0.003	0.01	-0.011	0.006	0.039	1875	AUS	0
4	-0.001	-0.003	-0.002	-0.006	-0.002	0.007	-0.003	-0.002	-0.003	-0.004	-0.026	0.005	0.026	1876	AUS	0
5	0.001	-0.002	0.0	0.029	-0.0	0.03	0.002	0.01	-0.001	0.003	-0.047	0.015	0.104	1877	AUS	0
6	0.003	-0.002	0.002	-0.015	-0.003	0.004	0.004	0.01	-0.002	0.036	-0.021	0.019	0.1	1878	AUS	0
7	0.008	-0.003	0.001	-0.004	-0.003	-0.021	-0.004	-0.012	-0.003	0.011	-0.006	0.009	0.037	1879	AUS	0
8	0.007	-0.003	0.0	0.021	-0.004	-0.006	-0.01	-0.023	-0.005	-0.013	-0.003	0.01	0.036	1880	AUS	0
9	0.015	0.001	-0.005	-0.004	-0.004	0.038	0.006	-0.01	-0.005	-0.008	0.037	0.033	0.157	1881	AUS	0
10	0.014	-0.0	-0.004	-0.002	-0.003	-0.002	0.044	0.063	0.0	0.018	0.065	0.042	0.297	1882	AUS	0
11	-0.011	-0.003	-0.003	0.004	-0.004	-0.021	-0.002	0.01	-0.001	-0.008	0.031	0.022	0.08	1883	AUS	0
12	-0.01	-0.003	-0.003	-0.002	-0.004	0.011	-0.004	-0.008	-0.002	-0.002	0.026	0.025	0.09	1884	AUS	0
13	0.008	-0.002	0.0	0.018	-0.002	-0.007	0.01	0.006	-0.002	0.022	0.017	0.036	0.169	1885	AUS	0
14	0.014	-0.003	0.001	0.015	-0.003	0.01	0.003	0.003	-0.002	0.009	0.025	0.032	0.17	1886	AUS	0
